FEATURE,SATISFACTION_WEIGHT,DISSATISFACTION_WEIGHT,QUARTERLY_PERIODS,COUNTRY,WEIGHT_PER_PERSON,RESTAURANT_NAME,CITY,BOOKING_CHANNEL,RESTAURANT_BRAND,AGE,AGE_BREAKS,GENDER,RESERVATION_TYPE,ORDER_TYPE,UNIQUE_ID
Location & Accessibility,5325.47954,0.0,2024Q3,IT,5325.47954,Subway Rome #38,Rome,UberEats,Subway,42,35-45,Male,Reserved,Delivery,1
Pricing,5325.47954,0.0,2024Q3,IT,0.0,Subway Rome #38,Rome,UberEats,Subway,42,35-45,Male,Reserved,Delivery,1
Customer Service,8734.52178,0.0,2024Q2,US,8734.52178,McDonald's New York #66,New York,OpenTable,McDonald's,21,18-24,Female,Reserved,Eat In,2
Hygiene & Cleanliness,8734.52178,0.0,2024Q2,US,0.0,McDonald's New York #66,New York,OpenTable,McDonald's,21,18-24,Female,Reserved,Eat In,2
Location & Accessibility,8654.1663,0.0,2024Q3,US,8654.1663,Subway New York #61,New York,JustEat,Subway,33,25-34,Male,Reserved,Delivery,3
Menu Variety,9010.89418,0.0,2024Q2,DE,9010.89418,Subway Berlin #41,Berlin,OpenTable,Subway,61,55-64,Female,Reserved,Eat In,4
Hygiene & Cleanliness,9010.89418,0.0,2024Q2,DE,0.0,Subway Berlin #41,Berlin,OpenTable,Subway,61,55-64,Female,Reserved,Eat In,4
Special Features or Experiences,9063.62123,0.0,2024Q2,UK,9063.62123,McDonald's London #32,London,Deliveroo,McDonald's,22,18-24,Female,Reserved,Delivery,5
Hygiene & Cleanliness,9063.62123,0.0,2024Q2,UK,0.0,McDonald's London #32,London,Deliveroo,McDonald's,22,18-24,Female,Reserved,Delivery,5
Customer Service,0.0,3971.09942,2024Q2,IT,3971.09942,Subway Rome #61,Rome,Deliveroo,Subway,44,35-45,Male,Reserved,Delivery,6
Menu Variety,0.0,3971.09942,2024Q2,IT,0.0,Subway Rome #61,Rome,Deliveroo,Subway,44,35-45,Male,Reserved,Delivery,6
Ambience,0.0,3971.09942,2024Q2,IT,0.0,Subway Rome #61,Rome,Deliveroo,Subway,44,35-45,Male,Reserved,Delivery,6
Pricing,0.0,3971.09942,2024Q2,IT,0.0,Subway Rome #61,Rome,Deliveroo,Subway,44,35-45,Male,Reserved,Delivery,6
Location & Accessibility,0.0,8513.99484,2024Q2,IT,8513.99484,Burger King Rome #16,Rome,UberEats,Burger King,32,25-34,Female,Reserved,Delivery,7
Service Speed,0.0,8513.99484,2024Q2,IT,0.0,Burger King Rome #16,Rome,UberEats,Burger King,32,25-34,Female,Reserved,Delivery,7
Reservation System,2506.14752,0.0,2024Q2,FR,2506.14752,Subway Paris #98,Paris,Deliveroo,Subway,32,25-34,Female,Reserved,Delivery,8
Pricing,5444.79183,0.0,2024Q3,FR,5444.79183,Chipotle Paris #4,Paris,JustEat,Chipotle,40,35-45,Male,Reserved,Delivery,9
Ambience,5444.79183,0.0,2024Q3,FR,0.0,Chipotle Paris #4,Paris,JustEat,Chipotle,40,35-45,Male,Reserved,Delivery,9
Location & Accessibility,5444.79183,0.0,2024Q3,FR,0.0,Chipotle Paris #4,Paris,JustEat,Chipotle,40,35-45,Male,Reserved,Delivery,9
Hygiene & Cleanliness,5441.82942,0.0,2024Q3,UK,5441.82942,Subway London #83,London,OpenTable,Subway,23,18-24,Male,Reserved,Eat In,10
Food Quality,5441.82942,0.0,2024Q3,UK,0.0,Subway London #83,London,OpenTable,Subway,23,18-24,Male,Reserved,Eat In,10
Special Features or Experiences,3921.45807,0.0,2024Q3,UK,3921.45807,Chipotle London #11,London,Deliveroo,Chipotle,73,65+,Male,Reserved,Delivery,11
Reservation System,4510.45735,0.0,2024Q2,UK,4510.45735,KFC London #94,London,UberEats,KFC,62,55-64,Female,Reserved,Delivery,12
Menu Variety,4510.45735,0.0,2024Q2,UK,0.0,KFC London #94,London,UberEats,KFC,62,55-64,Female,Reserved,Delivery,12
Location & Accessibility,4510.45735,0.0,2024Q2,UK,0.0,KFC London #94,London,UberEats,KFC,62,55-64,Female,Reserved,Delivery,12
